Anther	Ear	Early prophase meiocytes	Embryo	Endosperm	Leaf	Pollen	Root	Seed	Shoot apical meristem	Stalk	Silk	Tassel	Vegetative apex
zma-MIR164a	8.68631	101.567975	4.63467	41.0930495	41.1321333333333	234.680954892857	2.3394	184.054378	260.80902	3.294555	44.370256	3276.816116	142.124098	205.888014
zma-MIR164c	8.889498	102.323419	5.062485	41.0349866666667	41.1321333333333	246.957549214286	2.3394	184.04161975	260.80902	3.538264	56.2999023333333	3424.685258	141.562148	205.888014
zma-MIR164d	8.68631	101.437525	4.63467	41.2845628333333	41.1321333333333	236.915020785714	2.3394	184.054378	260.80902	3.5410085	45.6208526666667	3276.816116	142.407678	205.888014
zma-MIR164e	0	1.683314	0	29.6258983333333	22.1153933333333	118.190594678571	0	738.19869725	162.158	0	2.25499	2.007196	39.956004	0
zma-MIR164g	14.80736	101.394891666667	7.34417	41.691605	41.1321333333333	238.620219464286	2.3394	181.5518525	260.80902	4.694875	45.4510806666667	3278.577338	141.562148	206.833514
zma-MIR169a	3.758988	8.04158	3.77903	1.03460666666667	0	39.5735850357143	0	2.0614845	0	0.1643025	31.386823	254.208428	5.291092	0
zma-MIR169b	3.301808	6.61419666666667	7.558066	0.458033333333333	0.74318	30.4162001428571	0	0.561363	1.84971	0	0	260.427618	5.96361	0
zma-MIR169m	0.838152	0	0.499118	0.533453333333333	0	163.292191964286	0	7.3085705	0	6.2102205	1.20798266666667	3.506582	4.085986	0
zma-MIR169n	0.609565	0	0.499118	0.533453333333333	0	105.822919214286	0	0.11482425	0	1.4944555	0.911697666666667	0.27003	0.36237	0
zma-MIR169r	0	20.4167966666667	0	1.40997166666667	0	30.3781461071429	1.29966333333333	9.42835075	4.31599	0	0	370.173844	40.011194	52.08905
zma-MIR171d	44.828404	441.539248333333	75.937248	880.677631666667	29503.9077733333	101.586570857143	125.836611666667	9.94363	165.85763	16.5220405	321.052534333333	1253.230422	1088.052692	131.105405
zma-MIR171e	44.574419	443.699463333333	75.937248	881.507216666667	29533.5078433333	109.448531607143	125.836611666667	9.94363	174.4896	17.210386	332.037144333333	1287.47138	1094.034252	130.9028
zma-MIR171f	29.767091	425.829506666667	75.15292	864.090158333333	29118.3963566667	84.9189762142857	125.836611666667	12.125292	156.60913	4.820145	16.4702666666667	959.99608	1043.937728	34.3682
