Anther	Ear	Early prophase meiocytes	Embryo	Endosperm	Leaf	Pollen	Root	Seed	Shoot apical meristem	Stalk	Silk	Tassel	Vegetative apex	maxZ	modH	tissues
zma-MIR164a	-0.37028046845127	-0.261588709646883	-0.375021768875226	-0.332357531633001	-0.332311795043484	-0.105817558211906	-0.377707734218665	-0.165061669358387	-0.0752420366528246	-0.376589995029981	-0.328522486918308	3.45414253920242	-0.214129220853728	-0.139511564308755	3.45414253920242	1.68879013137217	Silk
zma-MIR164c	-0.36777818471542	-0.263197786825974	-0.372061752588678	-0.33179780458013	-0.331689068513561	-0.101309098817215	-0.375109696095049	-0.171730770802482	-0.0858051757171231	-0.373767810056302	-0.314711815497334	3.45551506752736	-0.219277957201183	-0.147278146116906	3.45551506752736	1.64866225734444	Silk
zma-MIR164d	-0.370648744336995	-0.262101558874066	-0.375390397786053	-0.332498854914336	-0.332677243878906	-0.103551604988231	-0.378076563119601	-0.16541466517726	-0.0755883447315953	-0.376670315010578	-0.32742407441944	3.45405902007137	-0.214153995102145	-0.13986265773216	3.45405902007137	1.68920839020689	Silk
zma-MIR164e	-0.406865534234805	-0.39827528208592	-0.406865534234805	-0.255679280915127	-0.29400673005145	0.196282190976045	-0.406865534234805	3.36029433335723	0.420655717271967	-0.406865534234805	-0.39535791729987	-0.396622454362462	-0.202962905716387	-0.406865534234805	3.36029433335723	1.62416850372555	Root
zma-MIR164g	-0.364339471941727	-0.263029479389428	-0.373071626661498	-0.332884104081037	-0.333538702604545	-0.102471756244219	-0.378927356714849	-0.169243446357536	-0.0765101983415001	-0.37617138076642	-0.328485405510245	3.45436866997068	-0.216032592405261	-0.139663148952422	3.45436866997068	1.67778610040593	Silk
zma-MIR169a	-0.315668926115874	-0.251873880200571	-0.315370373204405	-0.3562522999817	-0.371664176668594	0.217838319573529	-0.371664176668594	-0.340955554803334	-0.371664176668594	-0.369216666952165	0.0958853387698351	3.41511689804434	-0.292846148455284	-0.371664176668594	3.41511689804434	1.46883400660298	Silk
zma-MIR169b	-0.281712713240999	-0.233624733692979	-0.219922003196979	-0.322997535697375	-0.318857886503172	0.11192356137373	-0.329647086756191	-0.321497435498575	-0.302793711261679	-0.329647086756191	-0.329647086756191	3.45114050443137	-0.24306969968858	-0.329647086756191	3.45114050443137	1.07751082120325	Silk
zma-MIR169m	-0.290491848023009	-0.309887039014495	-0.298337237859945	-0.297542703756636	-0.309887039014495	3.46876319455367	-0.309887039014495	-0.140763633328848	-0.309887039014495	-0.16617991584741	-0.281933810322797	-0.228743251709441	-0.215335598633113	-0.309887039014495	3.46876319455367	0.874400445554527	Leaf
zma-MIR169n	-0.25869131169659	-0.280317002914964	-0.262609667766896	-0.261391544487924	-0.280317002914964	3.47398938730606	-0.280317002914964	-0.276243354042602	-0.280317002914964	-0.22729782828617	-0.247972474892776	-0.270737080511779	-0.267461111046497	-0.280317002914964	3.47398938730606	0.367309747744102	Leaf
zma-MIR169r	-0.389215614443131	-0.17911802951586	-0.389215614443131	-0.37470640191489	-0.389215614443131	-0.0766114760035967	-0.375841521924609	-0.292193845810039	-0.344802228231047	-0.389215614443131	-0.389215614443131	3.42003183496794	0.0225167139284848	0.146803026719278	3.42003183496794	1.62624499417391	Silk
zma-MIR171d	-0.307051310739031	-0.256194703149209	-0.303063292023435	-0.199899069294424	3.46947474304524	-0.299775160211252	-0.296666410281415	-0.311523387284251	-0.291535889515985	-0.310680063623851	-0.271640576689627	-0.152139419324897	-0.17331448705289	-0.295990973854978	3.46947474304524	0.815797247226797	Endosperm
zma-MIR171e	-0.30773770110387	-0.256615897957177	-0.303720603221828	-0.200539432449012	3.46934286782603	-0.299428321221286	-0.29732925924898	-0.312173374593189	-0.291097556860498	-0.311242614484242	-0.270918130232167	-0.148541642941205	-0.173317975369543	-0.296680358143029	3.46934286782603	0.826195547843261	Endosperm
zma-MIR171f	-0.30131722478689	-0.249965257718167	-0.295432668454344	-0.19314202566768	3.47020532579508	-0.29416643824095	-0.28886121112228	-0.303604594265653	-0.284871361831947	-0.304551752221918	-0.303041241149651	-0.180707223635701	-0.169823664445833	-0.300720662254064	3.47020532579508	0.757240816633264	Endosperm
zma-MIR171i	-0.301605491747743	-0.250237766347542	-0.295719129626742	-0.193397097003461	3.47022183537632	-0.294452510846432	-0.285085037105725	-0.304077234460846	-0.285447793676579	-0.304841011759266	-0.303330037157839	-0.18067046701837	-0.170349512477462	-0.301008746148314	3.47022183537632	0.765286581501772	Endosperm
zma-MIR172_N1	-0.271237087416299	-0.271237087416299	-0.271237087416299	-0.271237087416299	-0.271237087416299	-0.266398387931858	-0.25434246325401	3.47426150675509	-0.271237087416299	-0.271237087416299	-0.271237087416299	-0.241149781406228	-0.271237087416299	-0.271237087416299	3.47426150675509	0.121865865928077	Root
zma-MIR2275c	3.06807226983735	-0.371491595928668	1.38961159631166	-0.371491595928668	-0.371491595928668	-0.371479511417073	-0.371491595928668	-0.371491595928668	-0.371491595928668	-0.371288395445252	-0.371491595928668	-0.371491595928668	-0.371491595928668	-0.371491595928668	3.06807226983735	0.924138962437552	Anther
zma-MIR393a	-0.349094921583513	-0.334467095417138	-0.349772005850729	-0.169619106837514	3.44675913347615	0.110634994154849	-0.357324183684566	-0.282749206097249	-0.304864732401888	-0.354239834047663	-0.275559959466427	-0.191700394601736	-0.21932601181117	-0.368676675831404	3.44675913347615	1.44756003229179	Endosperm
zma-MIR393b	-0.317229275054035	-0.335141495387485	-0.320702254056462	-0.145367364132282	3.44707649796682	0.121733556481593	-0.328341750503651	-0.237255261359243	-0.325004116026417	-0.345354220735963	-0.336059844800665	-0.260179465765194	-0.258031667631172	-0.360143338995844	3.44707649796682	1.23091007648509	Endosperm
zma-MIR393c	-0.349031526959517	-0.33440387247111	-0.349708603280203	-0.169557818612845	3.44677797845183	0.110670268256483	-0.357260692478686	-0.282686590132876	-0.30480185688093	-0.354176379040933	-0.275497427877903	-0.19244628737858	-0.219264140206554	-0.368613051388175	3.44677797845183	1.44679825809766	Endosperm
zma-MIR399a	-0.402766738570296	-0.317650941085097	-0.402766738570296	-0.402766738570296	-0.322013040552869	3.40407833333341	-0.402766738570296	0.0261267092659053	-0.402766738570296	0.249439413841893	-0.402766738570296	-0.0946516570205536	-0.157847781025174	-0.370880605335739	3.40407833333341	1.77921917621411	Leaf
zma-MIR399b	0.29359059972112	-0.405420155828805	0.0239336317644866	-0.397618676973788	-0.405420155828805	3.37080992761217	-0.219542284163841	-0.405420155828805	-0.405420155828805	0.172188048670284	-0.405420155828805	-0.405420155828805	-0.405420155828805	-0.405420155828805	3.37080992761217	1.55507599921963	Leaf
zma-MIR399c	-0.296626442285055	-0.279187875340758	-0.296626442285055	-0.296626442285055	-0.281586345023373	3.47166511762916	-0.296626442285055	-0.216746519399513	-0.281135746337382	-0.16367900841443	-0.296626442285055	-0.235874307999904	-0.239635343555754	-0.290687760132775	3.47166511762916	0.680427314191037	Leaf
zma-MIR399d	-0.313699172164882	-0.341753973925066	-0.341753973925066	-0.341753973925066	-0.341753973925066	3.36662067265541	-0.225751573947718	-0.341753973925066	-0.341753973925066	0.590369812707852	-0.341753973925066	-0.341753973925066	-0.341753973925066	-0.341753973925066	3.36662067265541	0.918223982885807	Leaf
zma-MIR399e	-0.351057103922209	-0.321186693653699	-0.369285111198467	-0.369946593298581	-0.375712278178489	3.32286052408607	-0.375712278178489	-0.365462754036019	-0.375712278178489	0.738477763390691	-0.369465341432272	-0.211464145661764	-0.220084535625847	-0.356249174112441	3.32286052408607	1.30056654242312	Leaf
zma-MIR399f	-0.403249861527316	-0.403249861527316	-0.403249861527316	0.0453413065365443	-0.403249861527316	3.34603848855794	0.529182667409299	-0.403249861527316	-0.403249861527316	-0.235128659079311	-0.403249861527316	-0.0561850496786256	-0.403249861527316	-0.403249861527316	3.34603848855794	1.50990926701161	Leaf
