Control	Drought	logfc	qvalueVec	Sig
zma-MIR1432	51.0809633333333	41.15926	-0.304906589745383	0.0610955892658308	NS
zma-MIR156d	492.29069	1112.497995	1.17458899601188	4.12364081373361e-55	Up
zma-MIR156j	0.308491666666667	0	-0.387904736386744	0	NS
zma-MIR159a	3426.92039	4542.916161	0.406602611475462	2.17592427285578e-36	NS
zma-MIR159b	3420.45283166667	4531.71443666667	0.405766215123008	4.42667232132678e-36	NS
zma-MIR159c	33.0987	77.957655	1.21136240506489	1.69236576920576e-05	Up
zma-MIR159d	33.0987	77.957655	1.21136240506489	1.69236576920576e-05	Up
zma-MIR159f	3424.38478166667	4539.546409	0.406599863210485	3.26623241995688e-36	NS
zma-MIR159j	3420.45283166667	4531.71443666667	0.405766215123008	4.42667232132678e-36	NS
zma-MIR159k	3420.45283166667	4531.71443666667	0.405766215123008	4.42667232132678e-36	NS
zma-MIR160a	48.9756666666667	91.42337	0.887031882534172	8.86892455947354e-05	NS
zma-MIR160b	49.2841583333333	91.9854766666667	0.886901439544008	0.000163621609066569	NS
zma-MIR160c	49.2841583333333	91.9854766666667	0.886901439544008	0.000163621609066569	NS
zma-MIR160d	48.51293	87.6445796666667	0.840227092206457	0.000285110102112802	NS
zma-MIR160g	48.51293	87.6445796666667	0.840227092206457	0.000285110102112802	NS
zma-MIR160_N1	48.51293	87.9657843333333	0.845445266129124	0.000272946478993624	NS
zma-MIR162	196.223596666667	559.878054333333	1.50785496311437	4.03287024142441e-41	Up
zma-MIR164a	17.42823	47.6298583333333	1.39992487954849	0.000100137696633429	Up
zma-MIR164c	17.42823	48.041465	1.41208456761046	8.86892455947354e-05	Up
zma-MIR164d	17.42823	47.6298583333333	1.39992487954849	0.000100137696633429	Up
zma-MIR164e	15.172295	23.2155156666667	0.582407300027735	0.065920218346341	NS
zma-MIR164g	17.42823	47.6298583333333	1.39992487954849	0.000100137696633429	Up
zma-MIR166a	1170.91416166667	1861.11921533333	0.668078537487689	1.46612926406505e-36	NS
zma-MIR166b	1252.47364833333	1944.592826	0.634278147403736	6.22843253292716e-35	NS
zma-MIR166b1	1252.47364833333	1944.592826	0.634278147403736	6.22843253292716e-35	NS
zma-MIR166c	1259.07541	1958.33251133333	0.636852177718778	3.31836097381872e-35	NS
zma-MIR166d	1252.47364833333	1944.592826	0.634278147403736	6.22843253292716e-35	NS
zma-MIR166e	1259.07541	1958.33251133333	0.636852177718778	3.31836097381872e-35	NS
zma-MIR166g	1309.03886833333	2026.843398	0.630336626655404	1.02176305583367e-35	NS
zma-MIR166i	1168.81964833333	1856.28817233333	0.666911551755164	2.31411137135276e-36	NS
zma-MIR166j	673.458476666667	1036.01917233333	0.620641035972079	6.30939066003256e-19	NS
zma-MIR166k	673.8698	1036.84903633333	0.620915506522768	4.10640801458416e-19	NS
zma-MIR166_N1	1252.47364833333	1944.592826	0.634278147403736	6.22843253292716e-35	NS
zma-MIR166_N2	1252.47364833333	1944.11101933333	0.633920834115523	6.71159340545232e-35	NS
zma-MIR166_N3	220.454135	402.764626666667	0.866506587897028	1.10477583003065e-13	NS
zma-MIR167a	84.1999283333333	137.777043666667	0.703844816727856	0.000149315949933362	NS
zma-MIR167g	373.209185	540.026114666667	0.53185326275196	1.43664695806511e-08	NS
zma-MIR167h	446.041951666667	706.383457666667	0.662082257362762	9.37115121351393e-15	NS
zma-MIR167i	446.041951666667	706.383457666667	0.662082257362762	9.37115121351393e-15	NS
zma-MIR167j	393.553663333333	771.477362666667	0.969271120810465	4.2496674047823e-29	NS
zma-MIR168a	125.970321666667	210.05255	0.733110942909122	1.20020533954786e-06	NS
zma-MIR168b	120.185943333333	198.898957333333	0.722048580412505	5.81712475029911e-06	NS
zma-MIR169a	60.7265966666667	33.1259713333333	-0.85502213939633	0.00233583299818673	NS
zma-MIR169b	0	0	0	1	NS
zma-MIR169c	0	0	0	1	NS
zma-MIR169g	0.616983333333333	0	-0.693304808656184	0	NS
zma-MIR169h	0	0	0	1	NS
zma-MIR169i	0	0	0	1	NS
zma-MIR169j	0	0	0	1	NS
zma-MIR169k	0	0	0	1	NS
zma-MIR169m	0.308491666666667	0.411606666666667	0.109433412348934	0.780546344008823	NS
zma-MIR169n	0	0	0	1	NS
zma-MIR169_N1	0	0	0	1	NS
zma-MIR169_N2	0	0	0	1	NS
zma-MIR169o	0	0	0	1	NS
zma-MIR169r	0	0	0	1	NS
zma-MIR171d	13.0181	23.2504256666667	0.790719250005937	0.047187940359322	NS
zma-MIR171e	26.5783866666667	63.141289	1.21771528506492	5.1790277440025e-05	Up
zma-MIR171f	11.25372	15.442169	0.424180836505534	0.110734158486077	NS
zma-MIR171g	0	0.411606666666667	0.497338148735678	0	NS
zma-MIR171i	11.25372	15.442169	0.424180836505534	0.110734158486077	NS
