type_out	add5	sub5	add3	sub3	nt_add3	seed_snp	tail_snp
zma-MIR_N66a	PCGs	7	1	6	5	2	1	0
zma-MIR_N22b	PCGs	0	1	0	0	0	0	0
zma-MIR_N1f	UIs	7	0	2	5	0	1	3
zma-MIR_N196a	PCGs	0	0	0	1	0	2	0
zma-MIR_N63a	TEs	8	9	9	9	0	3	15
zma-MIR166h	UIs	7	11	8	9	2	62	109
zma-MIR_N34b	PCGs	2	1	1	4	0	0	0
zma-MIR_N34a	PCGs	1	0	0	4	0	0	1
zma-MIR_N8d	UIs	2	0	0	3	0	3	0
zma-MIR_N5c	TEs	2	6	6	4	0	1	0
zma-MIR171h	UIs	0	2	2	6	2	11	6
zma-MIR_N36b	UIs	1	0	0	2	0	0	0
zma-MIR166_N2	TEs	12	8	9	10	1	63	122
zma-MIR_N4b	UIs	4	2	1	6	0	2	0
zma-MIR_N166a	PCGs	1	0	0	2	0	0	0
zma-MIR408a	UIs	15	18	17	20	15	106	130
zma-MIR_N9d	TEs	4	10	7	10	7	34	6
zma-MIR_N154a	PCGs	0	1	0	0	0	0	0
zma-MIR169c	UIs	10	15	9	19	4	64	14
zma-MIR_N54a	PCGs	0	1	1	0	2	0	0
zma-MIR_N124a	PCGs	3	1	1	3	0	1	0
zma-MIR_N1a	TEs	3	0	0	3	0	1	3
zma-MIR_N103a	UIs	13	10	9	13	0	2	3
zma-MIR169n	UIs	2	4	2	2	0	7	1
zma-MIR_N57a	PCGs	0	1	2	0	0	0	0
zma-MIR_N37b	TEs	0	0	0	0	0	1	0
zma-MIR_N101a	UIs	1	0	0	1	0	0	0
zma-MIR_N4g	UIs	4	2	1	6	0	2	0
zma-MIR_N13a	PCGs	0	0	0	0	0	0	0
zma-MIR169_N1	UIs	6	3	1	12	2	17	8
zma-MIR_N182a	PCGs	4	1	0	2	0	0	0
zma-MIR_N68a	PCGs	6	8	9	4	0	1	0
zma-MIR_N50a	TEs	3	2	0	4	0	2	1
zma-MIR_N147a	PCGs	2	4	5	3	0	1	3
zma-MIR_N131a	UIs	3	2	0	0	0	1	1
zma-MIR159k	TEs	9	15	11	18	8	63	137
zma-MIR159b	TEs	9	15	11	18	8	63	137
zma-MIR_N190a	PCGs	1	1	2	1	1	0	0
zma-MIR_N150a	UIs	2	0	1	0	0	0	0
zma-MIR_N1b	TEs	7	0	2	5	0	1	3
zma-MIR_N123a	UIs	1	0	0	1	0	1	1
zma-MIR_N12b	TEs	7	5	9	2	0	0	0
zma-MIR_N12c	TEs	7	5	9	2	0	0	0
zma-MIR_N32a	PCGs	2	1	1	2	0	0	0
zma-MIR_N164a	TEs	3	0	0	1	0	0	0
zma-MIR_N9c	TEs	3	7	1	11	6	34	3
zma-MIR_N20b	TEs	1	3	2	1	0	2	0
zma-MIR_N188a	PCGs	0	0	0	0	0	0	0
zma-MIR_N187a	TEs	0	11	9	4	0	2	0
zma-MIR_N13c	UIs	0	0	0	0	0	0	1
zma-MIR_N125a	PCGs	1	0	1	1	0	0	0
zma-MIR166_N1	UIs	16	7	9	15	2	97	124
zma-MIR_N82a	TEs	0	3	4	1	1	2	0
zma-MIR_N46a	PCGs	1	1	3	0	0	0	0
zma-MIR_N16b	PCGs	2	0	1	3	1	0	0
zma-MIR399_N2	TEs	0	0	0	1	0	1	0
zma-MIR_N8a	UIs	2	0	0	3	0	3	0
zma-MIR_N88a	TEs	7	2	3	6	0	0	0
zma-MIR166k	UIs	3	5	5	9	4	61	22
zma-MIR827	PCGs	6	13	8	12	7	108	35
zma-MIR_N144a	PCGs	0	1	0	1	0	0	0
zma-MIR_N174a	PCGs	1	0	0	2	0	2	0
zma-MIR159f	UIs	7	13	9	14	8	64	136
zma-MIR319d	UIs	12	14	8	16	7	63	154
zma-MIR_N5e	PCGs	2	6	6	4	0	1	0
zma-MIR_N143a	TEs	11	3	6	6	0	4	5
zma-MIR169g	UIs	1	5	2	7	1	7	22
zma-MIR_N65a	PCGs	0	4	4	1	0	0	0
zma-MIR172b	UIs	5	2	2	6	2	35	2
zma-MIR171b1	TEs	2	7	3	6	3	62	24
zma-MIR_N99a	UIs	3	1	2	4	2	3	0
zma-MIR_N109a	PCGs	1	1	1	4	0	0	0
zma-MIR_N194a	PCGs	9	2	0	9	0	1	2
zma-MIR_N1c	UIs	7	0	2	5	0	1	3
zma-MIR_N159a	UIs	0	2	2	0	0	0	0
zma-MIR_N26a	UIs	0	1	0	2	0	0	0
zma-MIR_N15a	UIs	8	11	13	3	0	7	0
zma-MIR_N90a	PCGs	1	1	1	1	0	0	0
zma-MIR_N170a	PCGs	2	0	0	1	3	0	1
zma-MIR390b	TEs	8	12	5	17	3	56	25
zma-MIR_N30a	PCGs	5	2	3	2	0	1	0
zma-MIR_N130a	PCGs	1	0	2	2	0	1	0
zma-MIR166d	UIs	16	7	9	15	2	97	124
zma-MIR_N33b	PCGs	3	2	2	1	0	2	1
zma-MIR_N98a	PCGs	2	2	2	4	0	0	0
zma-MIR_N205a	UIs	3	6	5	1	0	1	0
zma-MIR167h	UIs	6	16	7	16	6	119	81
zma-MIR_N74a	TEs	7	1	4	4	0	0	0
zma-MIR171c	UIs	1	2	1	3	0	2	1
zma-MIR_N96a	PCGs	2	3	4	3	0	1	0
zma-MIR_N169a	PCGs	0	2	3	1	0	1	0
zma-MIR_N157a	PCGs	2	2	2	2	1	0	0
zma-MIR169i	UIs	6	8	4	11	3	18	8
zma-MIR_N192a	TEs	1	0	1	0	0	0	0
zma-MIR393a	UIs	10	11	10	13	6	86	32
zma-MIR_N81a	PCGs	1	0	3	1	0	0	0
zma-MIR396_N1	UIs	7	12	4	13	4	82	27
zma-MIR319c	UIs	3	8	5	8	2	63	118
zma-MIR_N178a	PCGs	0	0	0	0	0	0	0
zma-MIR529	UIs	2	8	3	11	3	66	4
zma-MIR169f	TEs	0	2	0	5	0	24	3
zma-MIR_N61a	PCGs	0	0	0	1	0	2	0
zma-MIR156_N1	UIs	4	7	5	11	9	59	130
zma-MIR_N45a	PCGs	1	4	7	1	2	1	0
zma-MIR_N12a	TEs	7	5	9	2	0	0	0
zma-MIR_N5a	TEs	2	6	6	4	0	1	0
zma-MIR_N59a	PCGs	12	13	16	11	6	2	4
zma-MIR_N35b	PCGs	0	1	0	0	0	0	1
zma-MIR_N1d	TEs	3	0	0	3	0	1	3
zma-MIR_N31a	TEs	2	1	1	2	0	0	0
zma-MIR_N107a	TEs	9	1	0	9	0	0	5
zma-MIR396c	TEs	13	16	12	14	9	69	75
zma-MIR166c	UIs	15	12	10	15	3	87	130
zma-MIR169m	UIs	6	5	3	6	0	11	1
zma-MIR_N6d	PCGs	2	1	3	2	0	0	0
zma-MIR_N111a	TEs	0	0	0	0	0	1	0
zma-MIR_N18b	TEs	6	0	2	1	0	2	2
zma-MIR166e	TEs	15	12	10	15	3	87	130
zma-MIR_N104a	UIs	0	8	7	4	0	2	3
zma-MIR159c	UIs	4	5	5	8	7	44	42
zma-MIR162	UIs	2	3	2	4	3	42	5
zma-MIR164e	UIs	0	2	4	3	2	49	3
zma-MIR_N72a	PCGs	1	0	0	1	0	2	0
zma-MIR395k	UIs	0	0	1	2	0	2	4
zma-MIR171k	TEs	0	2	2	6	2	11	6
zma-MIR_N4d	UIs	4	2	1	6	0	2	0
zma-MIR164d	UIs	3	6	2	6	2	61	34
zma-MIR160c	UIs	2	3	1	5	2	45	12
zma-MIR166l	UIs	9	2	2	6	2	62	71
zma-MIR_N91a	PCGs	1	2	1	1	0	0	0
zma-MIR_N4f	PCGs	4	1	0	6	0	2	0
zma-MIR2275_N1	PCGs	0	4	2	6	1	27	3
zma-MIR2275_N2	PCGs	2	3	5	3	2	33	2
zma-MIR_N44a	PCGs	1	1	1	1	0	0	0
zma-MIR_N4e	PCGs	4	2	1	6	0	2	0
zma-MIR528b	UIs	13	19	11	20	11	80	56
zma-MIR_N116a	PCGs	4	1	1	5	0	0	0
zma-MIR399e	UIs	5	3	3	9	2	29	7
zma-MIR167f	TEs	4	9	3	10	1	64	66
zma-MIR156a	UIs	10	5	8	8	11	97	72
zma-MIR_N40a	PCGs	4	0	1	4	0	0	0
zma-MIR_N202a	PCGs	1	0	0	0	0	0	0
zma-MIR_N83a	PCGs	5	3	6	7	1	3	1
zma-MIR_N8c	UIs	2	0	0	3	0	3	0
zma-MIR_N15b	PCGs	8	11	13	3	0	7	0
zma-MIR_N5d	PCGs	2	6	6	4	0	1	0
zma-MIR_N10a	PCGs	0	0	1	0	1	5	0
zma-MIR_N146a	PCGs	6	4	4	6	0	4	1
zma-MIR2275_N3	UIs	0	6	4	7	3	63	4
zma-MIR_N168a	PCGs	2	0	0	2	0	0	0
zma-MIR395i	TEs	4	4	3	8	2	10	5
zma-MIR395b	TEs	4	4	3	8	2	10	5
zma-MIR395d	UIs	3	4	2	5	2	8	5
zma-MIR395g	TEs	3	4	2	5	2	8	5
zma-MIR395f	TEs	4	4	3	8	2	10	5
zma-MIR395a	UIs	3	5	3	6	2	9	4
zma-MIR_N176a	UIs	0	0	0	0	0	0	0
zma-MIR164g	UIs	1	6	1	5	2	62	31
zma-MIR398a	TEs	10	9	7	17	7	66	38
zma-MIR160f	TEs	2	0	1	3	2	3	6
zma-MIR156g	PCGs	12	12	11	12	12	120	116
zma-MIR_N93a	TEs	5	0	0	5	0	1	0
zma-MIR_N73a	UIs	0	0	0	1	0	1	1
zma-MIR_N33a	PCGs	3	2	2	1	0	2	1
zma-MIR166f	TEs	8	13	10	9	2	62	125
zma-MIR_N200a	PCGs	1	0	0	1	0	1	0
zma-MIR_N173a	PCGs	2	4	1	5	0	1	0
zma-MIR_N25b	UIs	0	0	2	2	0	0	0
zma-MIR156e	UIs	7	4	4	6	7	76	52
zma-MIR_N171a	UIs	0	0	0	1	0	0	1
zma-MIR_N197a	PCGs	0	0	1	1	0	0	0
zma-MIR167g	UIs	9	12	5	13	4	110	77
zma-MIR_N4h	UIs	4	1	0	6	0	2	0
zma-MIR166a	UIs	14	6	7	14	5	64	111
zma-MIR_N1g	TEs	7	0	2	5	0	1	3
zma-MIR156f	UIs	12	12	11	12	12	120	116
zma-MIR166j	UIs	10	5	8	10	4	62	23
zma-MIR169b	TEs	10	5	4	17	1	29	9
zma-MIR_N165a	UIs	1	1	0	2	1	1	4
zma-MIR_N39a	UIs	4	2	6	2	0	0	0
zma-MIR167i	TEs	6	16	7	16	6	119	81
zma-MIR_N191a	PCGs	1	0	0	1	0	0	0
zma-MIR399c	UIs	1	3	0	6	2	10	1
zma-MIR_N16a	UIs	2	0	1	3	1	0	0
zma-MIR_N52a	UIs	6	3	1	6	0	2	2
zma-MIR396a	UIs	6	13	5	13	4	82	27
zma-MIR_N70a	UIs	8	2	3	6	1	1	0
zma-MIR_N36a	UIs	1	0	0	2	0	0	0
zma-MIR_N76a	UIs	6	1	0	6	1	1	0
zma-MIR_N199a	PCGs	0	0	0	0	0	0	0
zma-MIR_N102a	UIs	2	2	2	2	0	0	2
zma-MIR171b	TEs	2	7	3	6	3	62	24
zma-MIR172_N1	UIs	0	0	1	3	1	0	0
zma-MIR_N80a	UIs	6	2	6	1	0	1	0
zma-MIR169j	UIs	6	3	1	12	2	17	8
zma-MIR_N113a	PCGs	1	2	4	1	0	0	0
zma-MIR_N11c	TEs	5	10	8	10	0	22	25
zma-MIR_N11b	TEs	3	10	8	6	0	22	26
zma-MIR172d	TEs	5	2	2	6	2	35	2
zma-MIR167a	UIs	3	10	6	8	2	62	22
zma-MIR_N129a	PCGs	0	2	2	0	0	1	0
zma-MIR397b	TEs	7	10	7	10	5	87	10
zma-MIR164f	UIs	2	3	2	4	3	6	9
zma-MIR166_N3	TEs	1	3	3	4	2	63	45
zma-MIR393b	UIs	2	7	4	7	1	48	2
zma-MIR_N145a	UIs	1	0	0	0	0	0	4
zma-MIR_N100a	PCGs	0	1	2	0	0	0	0
zma-MIR_N4a	UIs	4	1	0	6	0	2	0
zma-MIR_N77a	UIs	4	7	4	7	0	0	1
zma-MIR399_N3	UIs	0	0	0	0	0	2	1
zma-MIR_N127a	PCGs	0	1	0	0	0	0	0
zma-MIR_N206a	UIs	3	0	2	3	0	1	3
zma-MIR169q	UIs	1	3	2	1	0	7	1
zma-MIR171e	UIs	8	12	10	13	5	85	30
zma-MIR_N89a	UIs	0	0	1	2	0	0	0
zma-MIR_N185a	UIs	2	6	4	2	0	0	0
zma-MIR396d	UIs	13	16	12	14	9	69	75
zma-MIR_N21b	PCGs	9	12	7	17	4	44	6
zma-MIR164a	PCGs	2	5	2	6	2	61	34
zma-MIR171l	UIs	1	4	2	5	2	43	2
zma-MIR171n	UIs	0	0	0	1	0	4	4
zma-MIR1432	TEs	1	5	3	7	3	20	4
zma-MIR399a	UIs	0	1	1	4	3	3	2
zma-MIR393c	UIs	10	9	8	13	6	86	32
zma-MIR_N21a	PCGs	9	14	10	17	4	44	7
zma-MIR_N41a	UIs	2	2	4	0	0	1	0
zma-MIR_N5b	TEs	2	6	6	4	0	1	0
zma-MIR171i	UIs	3	7	3	6	3	61	24
zma-MIR_N207a	PCGs	2	0	1	0	0	1	1
zma-MIR_N160a	TEs	0	0	0	0	0	0	2
zma-MIR_N26b	TEs	6	1	1	6	0	0	0
zma-MIR_N132a	PCGs	1	1	0	1	0	3	0
zma-MIR160b	UIs	3	4	2	8	2	51	12
zma-MIR_N51a	UIs	0	0	2	1	0	3	0
zma-MIR172c	UIs	5	4	2	6	2	33	2
zma-MIR_N108a	PCGs	1	4	4	1	1	0	1
zma-MIR169o	UIs	6	4	4	10	3	5	2
zma-MIR_N14a	TEs	11	9	8	18	2	18	9
zma-MIR_N14b	UIs	11	9	8	18	2	18	9
zma-MIR_N14c	TEs	11	9	8	18	2	18	9
zma-MIR_N148a	PCGs	1	2	1	3	1	2	1
zma-MIR399g	UIs	0	1	1	0	0	3	0
zma-MIR_N180a	UIs	0	0	0	0	0	0	0
zma-MIR166b1	UIs	16	7	9	15	2	97	124
zma-MIR169k	PCGs	5	8	4	11	3	18	10
zma-MIR169l	UIs	0	1	0	1	1	2	0
zma-MIR169_N3	UIs	1	3	3	3	1	8	4
zma-MIR_N71a	UIs	2	0	0	2	0	0	0
zma-MIR_N209a	TEs	6	1	1	6	0	0	0
zma-MIR_N203a	TEs	0	0	0	1	0	1	0
zma-MIR_N204a	UIs	2	1	1	4	0	1	0
zma-MIR164c	UIs	2	8	3	8	2	67	38
zma-MIR159j	TEs	9	15	11	18	8	63	137
zma-MIR159a	UIs	8	11	8	13	9	72	135
zma-MIR396b	UIs	7	13	5	13	4	82	27
zma-MIR395n	UIs	4	4	3	5	2	9	5
zma-MIR_N25a	UIs	0	0	2	2	0	0	0
zma-MIR_N153a	PCGs	2	0	0	1	0	0	0
zma-MIR160g	UIs	5	4	2	8	2	51	9
zma-MIR167e	UIs	4	15	6	13	1	64	72
zma-MIR_N28a	UIs	7	2	3	6	0	2	1
zma-MIR_N6b	PCGs	2	1	3	2	0	0	0
zma-MIR_N49a	PCGs	0	2	1	0	0	0	0
zma-MIR_N167a	PCGs	0	1	2	2	1	0	0
zma-MIR_N137a	PCGs	4	2	3	2	0	0	0
zma-MIR_N42a	PCGs	2	1	1	2	0	0	0
zma-MIR_N156a	PCGs	0	0	0	0	0	0	1
zma-MIR_N23a	UIs	1	2	3	0	0	0	0
zma-MIR_N10b	PCGs	0	0	1	0	1	5	0
zma-MIR_N161a	UIs	0	0	0	0	1	0	0
zma-MIR_N138a	PCGs	2	0	0	4	0	1	0
zma-MIR156j	TEs	1	0	0	2	2	7	21
zma-MIR_N10c	PCGs	0	1	2	0	1	5	0
zma-MIR_N183a	UIs	0	0	1	2	0	1	0
zma-MIR_N56a	UIs	0	0	0	1	1	1	0
zma-MIR399h	UIs	0	1	0	3	1	2	1
zma-MIR399i	UIs	0	3	0	4	1	28	7
zma-MIR_N6a	UIs	2	1	3	2	0	0	0
zma-MIR_N39b	UIs	4	2	6	2	0	0	0
zma-MIR160a	TEs	1	3	2	4	2	45	11
zma-MIR_N35a	PCGs	0	1	0	0	0	0	1
zma-MIR169a	TEs	2	1	2	3	2	30	0
zma-MIR_N114a	TEs	8	3	2	9	0	1	4
zma-MIR408b	UIs	9	18	14	15	11	70	78
zma-MIR156h	UIs	5	2	3	3	7	60	50
zma-MIR172a	UIs	5	2	0	5	2	34	2
zma-MIR_N15c	UIs	8	11	13	3	0	7	0
zma-MIR168a	UIs	12	20	12	20	12	123	139
zma-MIR169p	TEs	6	3	2	5	1	8	7
zma-MIR171m	UIs	1	4	2	5	2	43	2
zma-MIR2275b	UIs	1	5	2	7	3	72	6
zma-MIR2275a	UIs	4	8	7	10	3	34	6
zma-MIR_N37a	UIs	0	0	0	0	0	1	0
zma-MIR_N193a	PCGs	1	2	3	0	0	1	0
zma-MIR_N22a	PCGs	0	1	0	0	0	0	0
zma-MIR_N29b	PCGs	6	2	2	9	1	1	4
zma-MIR_N29a	PCGs	6	2	2	9	1	1	4
zma-MIR_N9a	TEs	3	7	1	11	6	34	3
zma-MIR_N158a	UIs	11	18	10	15	5	5	20
zma-MIR_N97a	PCGs	0	0	1	1	0	0	0
zma-MIR_N17c	UIs	5	9	9	7	2	0	0
zma-MIR_N62a	PCGs	2	2	2	1	0	1	4
zma-MIR390a	UIs	8	12	5	17	3	56	25
zma-MIR2118a	TEs	2	3	1	6	0	0	3
zma-MIR2118_N1	TEs	2	2	3	2	2	0	1
zma-MIR2118c	TEs	0	2	0	3	1	1	1
zma-MIR_N60a	PCGs	1	0	0	1	0	1	0
zma-MIR_N16c	PCGs	2	0	1	3	1	0	0
zma-MIR_N19b	TEs	4	7	9	1	0	0	1
zma-MIR_N19a	TEs	4	7	9	1	0	0	1
zma-MIR156i	UIs	5	2	5	5	7	62	49
zma-MIR_N4c	UIs	4	1	0	6	0	2	0
zma-MIR_N115a	UIs	3	0	4	0	0	0	0
zma-MIR_N149a	PCGs	0	2	2	0	0	1	0
zma-MIR_N136a	TEs	5	3	1	9	0	1	2
zma-MIR_N121a	PCGs	3	13	7	10	1	6	0
zma-MIR_N64a	UIs	0	2	3	0	0	0	0
zma-MIR171d	UIs	7	10	7	13	5	85	31
zma-MIR_N48a	PCGs	1	0	0	1	0	0	0
zma-MIR_N20a	TEs	1	3	2	1	0	2	0
zma-MIR168b	UIs	10	20	12	18	16	122	132
zma-MIR169r	UIs	6	10	5	12	3	62	8
zma-MIR_N11a	TEs	3	10	8	6	0	22	7
zma-MIR2275_N4	UIs	0	0	2	5	1	5	0
zma-MIR_N163a	PCGs	2	2	0	5	1	1	1
zma-MIR399b	UIs	1	1	1	2	2	6	0
zma-MIR394b	UIs	1	2	3	2	1	24	2
zma-MIR_N1h	PCGs	7	0	2	5	0	1	3
zma-MIR171j	UIs	5	7	3	8	3	61	26
zma-MIR_N112a	UIs	2	1	3	1	0	0	1
zma-MIR_N142a	UIs	1	0	0	1	0	0	0
zma-MIR_N186a	PCGs	1	0	2	1	0	0	0
zma-MIR_N94a	PCGs	0	3	3	1	0	0	0
zma-MIR_N84a	UIs	7	4	5	5	0	0	0
zma-MIR_N181a	PCGs	4	1	2	5	0	1	4
zma-MIR_N31b	TEs	2	1	1	2	0	0	0
zma-MIR2275c	TEs	6	5	4	5	3	66	4
zma-MIR_N152a	PCGs	0	0	0	1	0	1	0
zma-MIR_N53a	PCGs	4	0	1	2	0	0	3
zma-MIR394a	UIs	1	2	3	2	1	24	4
zma-MIR2118g	TEs	6	1	1	8	2	2	4
zma-MIR_N135a	PCGs	2	1	2	2	0	0	0
zma-MIR_N95a	TEs	3	2	3	4	0	0	0
zma-MIR_N75a	UIs	4	7	4	9	2	28	19
zma-MIR172e	UIs	2	2	0	1	0	4	0
zma-MIR_N92a	PCGs	1	0	0	2	1	0	0
zma-MIR399_N1	TEs	0	0	0	1	0	1	0
zma-MIR_N140a	PCGs	0	2	1	0	0	0	0
zma-MIR_N58a	TEs	0	1	2	2	0	0	0
zma-MIR396e	TEs	3	5	3	7	4	56	17
zma-MIR399d	UIs	0	0	1	3	2	3	0
zma-MIR_N17a	PCGs	4	4	4	3	0	0	0
