singleton	dupliation	Ratio(S/D)	PCG_singleton	PCG_dupliation	PCG_Ratio(S/D)	TE_singleton	TE_dupliation	TE_Ratio(S/D)	UI_singleton	UI_dupliation	UI_Ratio(S/D)
Anther	142	78	1.82:1	41	8	5.12:1	31	20	1.55:1	70	50	1.4:1
Ear_6week	72	64	1.12:1	7	3	2.33:1	24	14	1.71:1	41	47	0.87:1
Ear_8week	74	68	1.09:1	10	6	1.67:1	22	14	1.57:1	42	48	0.88:1
Ear_9week	72	74	0.97:1	9	3	3:1	22	19	1.16:1	41	52	0.79:1
Ear_10week	55	54	1.02:1	10	4	2.5:1	17	13	1.31:1	28	37	0.76:1
Early prophase meiocytes	131	85	1.54:1	36	8	4.5:1	32	26	1.23:1	63	51	1.24:1
Embryo_1d	87	63	1.38:1	22	5	4.4:1	16	15	1.07:1	49	43	1.14:1
Embryo_3week	57	46	1.24:1	11	4	2.75:1	14	10	1.4:1	32	32	1:1
Embryo_9DAP	85	73	1.16:1	21	7	3:1	23	16	1.44:1	41	50	0.82:1
Embryo_15DAP	89	66	1.35:1	21	5	4.2:1	23	13	1.77:1	45	48	0.94:1
Embryo_20DAP	67	61	1.1:1	8	5	1.6:1	20	12	1.67:1	39	44	0.89:1
Endosperm_9DAP	146	68	2.15:1	60	7	8.57:1	24	16	1.5:1	62	45	1.38:1
Endosperm_15DAP	155	70	2.21:1	69	7	9.86:1	26	14	1.86:1	60	49	1.22:1
Endosperm_20DAP	157	69	2.28:1	70	7	10:1	25	14	1.79:1	62	48	1.29:1
Leaf1_2week	156	74	2.11:1	51	7	7.29:1	37	16	2.31:1	68	51	1.33:1
Leaf2_2week	102	83	1.23:1	27	8	3.38:1	25	23	1.09:1	50	52	0.96:1
Leaf1_3week	122	71	1.72:1	31	7	4.43:1	31	14	2.21:1	60	50	1.2:1
Leaf2_3week	101	74	1.36:1	29	5	5.8:1	25	13	1.92:1	47	56	0.84:1
Leaf3_3week	92	76	1.21:1	28	7	4:1	19	13	1.46:1	45	56	0.8:1
Leaf_4week	88	85	1.04:1	16	7	2.29:1	26	20	1.3:1	46	58	0.79:1
Leaf_5week	77	82	0.94:1	15	7	2.14:1	19	19	1:1	43	56	0.77:1
Leaf_6week	112	67	1.67:1	37	5	7.4:1	24	13	1.85:1	51	49	1.04:1
Leaf_9week	116	85	1.36:1	41	6	6.83:1	21	23	0.91:1	54	56	0.96:1
Leaf_expanded_4week	135	89	1.52:1	44	7	6.29:1	30	20	1.5:1	61	62	0.98:1
Leaf_immature_5week	120	84	1.43:1	38	7	5.43:1	28	19	1.47:1	54	58	0.93:1
Leaf_mature_5week	138	85	1.62:1	48	7	6.86:1	29	19	1.53:1	61	59	1.03:1
Leaf_wrapped_4week	116	87	1.33:1	34	5	6.8:1	30	20	1.5:1	52	62	0.84:1
Pollen_early	89	66	1.35:1	16	5	3.2:1	22	16	1.38:1	51	45	1.13:1
Pollen_germination	54	45	1.2:1	13	1	13:1	10	13	0.77:1	31	31	1:1
Pollen1_mature	70	49	1.43:1	22	3	7.33:1	13	14	0.93:1	35	32	1.09:1
Pollen2_mature	84	46	1.83:1	23	2	11.5:1	17	14	1.21:1	44	30	1.47:1
Root1_2week	96	79	1.22:1	27	5	5.4:1	23	21	1.1:1	46	53	0.87:1
Root2_2week	112	66	1.7:1	31	6	5.17:1	35	12	2.92:1	46	48	0.96:1
Seed	123	68	1.81:1	34	7	4.86:1	32	15	2.13:1	57	46	1.24:1
Shoot apical meristem_4week	81	67	1.21:1	17	3	5.67:1	19	16	1.19:1	45	48	0.94:1
Stalk_2week	103	81	1.27:1	28	7	4:1	21	21	1:1	54	53	1.02:1
Silk_9week	64	78	0.82:1	10	5	2:1	16	23	0.7:1	38	50	0.76:1
Silk_11week	115	84	1.37:1	36	8	4.5:1	29	21	1.38:1	50	55	0.91:1
Silk_12week	101	89	1.13:1	32	8	4:1	21	21	1:1	48	60	0.8:1
Tassel_4week	101	76	1.33:1	23	5	4.6:1	26	23	1.13:1	52	48	1.08:1
Tassel_8week	65	58	1.12:1	10	4	2.5:1	20	14	1.43:1	35	40	0.88:1
Tassel_9week	100	91	1.1:1	19	7	2.71:1	26	25	1.04:1	55	59	0.93:1
Vegetative apex_2week	72	64	1.12:1	9	4	2.25:1	17	16	1.06:1	46	44	1.05:1
