ID	Total Reads	Clean Reads	Clean Ratio	Genome Match	Remove t/r/sn/snoRNA
SRR6322651	33348512	12576225	37.7115	4920068	1919373
SRR4019462	25908841	24775413	95.6253	12133080	11021343
SRR1917157	32097616	11227195	34.9783	4162140	3907434
SRR4019464	25031858	23512065	93.9286	11128908	9650548
SRR4019455	25135766	23654555	94.1072	10207589	9286764
SRR4019446	25839351	24283510	93.9788	11725764	10562653
SRR4019460	23666752	22809178	96.3765	11392663	10738880
SRR4019476	25342352	24250630	95.6921	10689329	9804948
SRR4019448	24447845	23281935	95.231	11844887	10713635
SRR4019470	24464806	22984294	93.9484	9386893	7532970
SRR4019468	25819367	23490729	90.981	11765652	9310491
SRR4019467	26714449	25253808	94.5324	9537782	8540532
SRR4019449	25001753	23509895	94.033	11837054	10554227
SRR4019478	23832662	22545124	94.5976	10516106	9557017
SRR4019475	23431010	22116392	94.3894	8707686	7479766
SRR4019469	25101898	24363342	97.0578	11855408	10687966
SRR4019465	27204266	25353004	93.195	11843670	9809220
SRR4019466	26725088	25358535	94.8866	11800076	9903182
SRR4019458	25610074	24170688	94.3796	11310432	10447480
SRR4019480	26716380	25581363	95.7516	13256387	12479475
SRR4019479	25493872	24295005	95.2974	11865724	10850077
SRR4019443	24184615	23069666	95.3898	9526261	8622639
SRR4019445	23726042	22475299	94.7284	11551104	10669417
SRR4019463	28019924	26425951	94.3113	12344834	10643310
SRR4019461	24322836	23455372	96.4335	12555931	11800668
SRR4019451	24543882	23323892	95.0294	11374530	9775654
SRR6322652	37550492	12645701	33.6765	6210636	4859006
SRR6322653	38972457	14763158	37.881	11479201	9581497
SRR4019457	22626341	21643701	95.6571	9174046	8392832
SRR4019459	24442011	23714154	97.0221	12267350	11603571
SRR5099742	51781581	23460005	45.3057	14593821	14024745
SRR6322650	43789840	6479667	14.7972	4516805	3622829
SRR4019456	23940113	22799290	95.2347	9158130	8143782
SRR6322649	33499159	12352223	36.8732	7892605	6483156
SRR4019477	34225000	32342187	94.4987	15072294	13959873
SRR6322654	37396246	17810739	47.6271	10035057	8302080
SRR4019453	22848084	21662750	94.8121	8108236	7164431
SRR8857833	22753170	7175175	31.5348	3183852	2379804
SRR4019442	21747352	20418411	93.8892	7308514	6248703
SRR8857841	24507065	8950888	36.5237	2476984	2094750
SRR8182151	21283601	20262120	95.2006	9768622	9474104
SRR8857817	22901741	8249066	36.0194	1514714	1149662
SRR4019472	20549051	19368217	94.2536	7173497	5947758
SRR8857787	22078939	14384678	65.1511	6921193	6750261
SRR4019474	21214204	20126149	94.8711	8482644	7410214
SRR4019447	21770639	21053706	96.7069	10537655	9869325
SRR4019454	22494310	21403242	95.1496	9187891	8353500
SRR8182155	18728378	18041283	96.3313	9508217	9331987
SRR8857813	21620825	7836086	36.2432	3350557	2294762
SRR2947006	32302681	28481696	88.1713	18449556	18259006
SRR4019452	21481810	19680052	91.6126	7619266	6776540
SRR8857789	20788588	13466752	64.7795	6571791	6384601
SRR8182154	21721340	20434870	94.0774	10616312	10364226
SRR2155403	33104545	32552346	98.332	19909857	19595152
SRR8857812	20892757	8400649	40.2084	2724922	2370188
SRR8857820	19992702	13174877	65.8984	6559957	6417541
SRR8857806	21828048	11956486	54.7758	5705670	5497202
SRR357418	26700770	13902714	52.0686	8193559	7926609
SRR4019471	23014580	21353070	92.7806	8977739	6984515
SRR8857808	21956397	5511712	25.103	1625627	1063153
SRR2155397	65520683	64310496	98.153	39100299	32895477
SRR8857790	18034178	13019195	72.1918	6898238	6786977
SRR1917158	24888877	8755930	35.1801	3316501	3124293
SRR8857853	20920584	9056835	43.2915	5018326	4119727
SRR2947007	37205451	33785288	90.8074	22206699	21916355
SRR8857811	20614254	7671607	37.2151	2364543	2040285
SRR8857778	24244206	12951977	53.423	5725651	5446100
SRR8857840	19875171	8794672	44.2495	3715198	3311532
SRR8857784	19749098	16947831	85.8157	9528642	9462538
SRR8857785	16934722	14377201	84.8978	8202501	8153493
SRR357417	25128705	15317312	60.9554	9638380	9271711
SRR8857764	19221001	7242949	37.6825	1812535	1439777
SRR8857809	25861962	5863822	22.6735	1813463	1102535
SRR8857745	18482427	7204949	38.9827	2394216	2030093
SRR8857791	17637224	10855761	61.5503	5282035	5156202
SRR8857858	18737531	7481070	39.9256	3716841	2970933
SRR8857837	18743302	7866252	41.9683	3908128	3275663
SRR8182156	16980599	16198496	95.3941	8203447	8007631
SRR8857788	21137049	13807175	65.3222	7271654	7125597
SRR8857783	16797649	14276769	84.9927	7974024	7920330
SRR8857782	15738621	13437392	85.3785	7872049	7818401
SRR8857765	20408879	13646277	66.8644	7106208	6945537
SRR8857835	19009577	5894065	31.0058	2470972	1852126
SRR8857792	19603981	12138035	61.9162	5829367	5651730
SRR2947005	28578738	25514272	89.2771	16672680	16413028
SRR8857779	16937830	9814635	57.9451	4354075	4140162
SRR8182153	17458001	16599219	95.0809	8467906	8259880
SRR8857818	22709069	8970001	39.4996	1812500	1375982
SRR8857854	17494661	7895909	45.1332	3221928	2412821
SRR357419	24180396	14556348	60.199	8254593	7264590
SRR8857834	22393758	9142931	40.828	3728767	2542375
SRR8857836	17380637	7064776	40.6474	3669633	3111440
SRR2947008	29663819	25779071	86.9041	16339825	16188182
SRR8857786	14861453	10836293	72.9154	5838333	5715953
SRR962471	23220051	13903473	59.877	7458354	7403494
SRR8857822	17124994	6867311	40.1011	2767191	1846149
SRR8857862	21331325	9045586	42.4052	4138035	3439988
SRR6939410	19805814	14280107	72.1006	7197584	6928997
SRR357420	20608692	14003752	67.9507	8968639	8532166
SRR6939419	19437220	13487518	69.3902	6489889	6189119
SRR8857852	16357822	7226808	44.1795	3746218	3375144
SRR8182152	14638586	13203140	90.1941	6619007	6375326
SRR8857821	16337716	6512385	39.861	3382695	2733215
SRR768485	14846804	13441334	90.5335	6261561	6144772
SRR8857839	16218243	6792788	41.8836	2294640	1987692
SRR8857860	15073070	5904845	39.1748	2822479	2365727
SRR3684389	13818355	13433371	97.214	6694370	6479537
SRR8857851	16046348	5937989	37.0052	1460564	1157080
SRR8857863	20115079	8978353	44.6349	3871439	3285242
SRR8857819	14936613	6088272	40.7607	1647729	1284034
SRR3684242	13516927	12753827	94.3545	5007775	4541412
SRR6939418	18849802	14343374	76.093	7589156	7342064
SRR2086103	15075537	9469505	62.8137	5529450	4696112
SRR8857804	14605823	8104946	55.4912	3202452	3044755
SRR8857763	19600604	7199071	36.7288	1725196	1385436
SRR6939404	20144686	10860010	53.91	5517182	4160953
SRR8857810	20014214	5812312	29.0409	1709746	1063302
SRR3151743	14389661	7909682	54.9678	3751795	3364783
SRR768487	13371488	11981198	89.6026	5946007	5794071
SRR8857856	16667428	12787688	76.7226	7023878	6919285
SRR2086101	14683573	5863866	39.9349	3389294	2411929
SRR8857857	17539451	7919542	45.1527	3860472	3158940
SRR2086100	14205229	6453870	45.4331	3873477	2719344
SRR2086104	13498440	5775772	42.7884	3103672	1770101
SRR768489	13481331	11886583	88.1707	6711711	6272115
SRR3151741	13591958	6383859	46.9679	2619518	2397945
SRR8857781	13519552	11680800	86.3993	6582077	6539541
SRR3151742	12557043	6527611	51.9837	3076553	2776720
SRR8857861	17513640	8878417	50.6943	4090836	3614714
SRR8857780	16334157	7668675	46.9487	3343263	3159612
SRR2086107	13200418	5073519	38.4345	3134072	1269475
SRR10216577	14184848	3861093	27.2198	1738926	1320313
SRR2086118	13369597	3624572	27.1106	2164789	1407579
SRR8857777	14929584	8663322	58.0279	3994522	3847060
SRR8857803	15505284	8273068	53.3564	4007618	3815724
SRR2086132	11447127	3897476	34.0476	2271433	1667523
SRR8857805	14908415	6895655	46.2534	2888715	2701947
SRR768492	11285708	9641324	85.4295	5288992	4887259
SRR8857815	15184856	5643718	37.1668	1192545	780890
SRR6939406	14623238	8151436	55.743	4660842	3776849
SRR6939403	13999537	7509622	53.6419	3597196	2592187
SRR8857750	12468080	9371934	75.1674	5038119	4958123
SRR3151733	11248435	5780590	51.3902	3943489	3197861
SRR6056344	11888775	11304972	95.0895	5015105	4947761
SRR895785	12437183	10573799	85.0176	4430172	4331317
SRR3151737	12307708	5973074	48.5312	4210539	3692345
SRR2086138	11460243	3424607	29.8825	2053043	1443684
SRR768249	11133002	10556272	94.8196	3794552	3286468
SRR2086102	10719032	5324782	49.676	2962988	1975171
SRR8857838	15057042	6502160	43.1835	3398695	2891683
SRR8857807	14861811	6010315	40.4413	2972205	2805779
SRR490840	11211061	9736172	86.8443	4946782	4865629
SRR2086105	12819971	4684984	36.5444	2927673	1337592
SRR2086106	10964035	3999646	36.4797	2299024	911753
SRR8867417	10042093	4533828	45.1482	2499737	2297935
SRR10216579	12109046	7615412	62.8903	3886946	3074182
SRR2086134	10985437	3035365	27.6308	1838524	1297662
SRR8857814	13306999	4728387	35.5331	1085574	707474
SRR6056345	11350524	10196016	89.8286	3855529	3588181
SRR2086119	10087636	3144695	31.1738	1853346	1196999
SRR2086122	10552382	3887939	36.8442	2458498	1299687
SRR490839	10920081	9075301	83.1065	5064003	4123696
SRR032091	9179976	8238805	89.7476	4681519	4626745
SRR768251	8327428	8014540	96.2427	5248277	5184594
SRR10216573	12231198	4002911	32.7271	1870902	1429231
SRR2086121	10706553	3510817	32.7913	2228351	1184002
SRR768250	9173416	8868646	96.6777	5410508	5223645
SRR6056342	11999402	11699743	97.5027	6873407	6842603
SRR962475	12044415	6407698	53.2006	3277072	3255600
SRR6056343	10541148	9065403	86.0001	3003777	2725242
SRR2086136	9895330	2824085	28.5396	1593174	1063164
SRR6056346	12318574	11813069	95.8964	6137290	6091820
SRR6056341	12786893	11524682	90.1289	5557224	5209290
SRR3151735	9553456	4418164	46.2468	3232541	2702321
SRR2086135	9482279	3157428	33.2982	1879798	1306142
SRR3151734	9415654	3920362	41.6366	2879523	2408542
SRR032088	9611042	8624623	89.7366	4007671	3847150
SRR034096	4192917	3451173	82.3096	1805781	1493819
SRR034097	4802841	3695527	76.9446	2046007	2026433
SRR2086133	7420299	2570435	34.6406	1623634	957229
SRR034098	4312641	3644000	84.4958	2160131	2146178
SRR2086123	8765868	2974296	33.9304	1789791	1104429
SRR2086137	7279036	2451007	33.6721	1514380	987380
SRR3151736	8868292	3581862	40.3895	2664580	2342762
SRR2086116	7486611	3154214	42.1314	1887371	1377705
SRR2086139	7951880	2271518	28.5658	1344728	782166
SRR2086120	8068540	2236994	27.7249	1178375	637087
SRR032087	5377348	4791455	89.1044	2918561	2910184
SRR032090	9179882	7716342	84.0571	4150500	3846639
SRR032089	8844793	7498271	84.7761	4190253	3822241
SRR768248	6433541	5819969	90.4629	2018727	1855329
SRR3151744	6620805	4281854	64.6727	2414266	2364113
SRR2086117	7100626	2777960	39.1227	1551557	826224
SRR5100248	108723219	60523703	55.6677	40315768	39372321
SRR5100255	135506705	39985864	29.5084	23022736	18839414
