Name	p-val	Chr	Start	End	Strand	Lib
Phas-1	1e-05	1	1734281	1734404	NONE	nd
Phas-2	1e-05	1	23497873	23498038	NONE	nd
Phas-3	1e-05	1	23498450	23498741	NONE	nd
Phas-4	1e-05	1	29675254	29675419	NONE	nd
Phas-5	1e-05	1	29675787	29676099	NONE	nd
Phas-6	1e-05	1	51729785	51730055	NONE	nd
Phas-7	1e-05	1	69429133	69429382	NONE	nd
Phas-8	1e-05	1	69512346	69512721	NONE	nd
Phas-9	1e-05	1	164213064	164213649	NONE	nd
Phas-10	1e-05	1	164215970	164216324	NONE	nd
Phas-11	1e-05	1	164218571	164218841	NONE	nd
Phas-12	1e-05	1	164510869	164511370	NONE	nd
Phas-13	1e-05	1	164573283	164573721	NONE	nd
Phas-14	1e-05	1	164582967	164583384	NONE	nd
Phas-15	1e-05	1	164621156	164621804	NONE	nd
Phas-16	1e-05	1	164653986	164654403	NONE	nd
Phas-17	1e-05	1	164655949	164656303	NONE	nd
Phas-18	1e-05	1	164777318	164778134	NONE	nd
Phas-19	1e-05	1	164813830	164814478	NONE	nd
Phas-20	1e-05	1	164855339	164855798	NONE	nd
Phas-21	1e-05	1	164858531	164859335	NONE	nd
Phas-22	1e-05	1	164941652	164942027	NONE	nd
Phas-23	1e-05	1	164942646	164943231	NONE	nd
Phas-24	1e-05	1	164970555	164971266	NONE	nd
Phas-25	1e-05	1	164971636	164972158	NONE	nd
Phas-26	1e-05	1	164975237	164975864	NONE	nd
Phas-27	1e-05	1	164976151	164976505	NONE	nd
Phas-28	1e-05	1	164978475	164979039	NONE	nd
Phas-29	1e-05	1	164981735	164982194	NONE	nd
Phas-30	1e-05	1	164983851	164984352	NONE	nd
Phas-31	1e-05	1	165021404	165021842	NONE	nd
Phas-32	1e-05	1	165022422	165022944	NONE	nd
Phas-33	1e-05	1	165026532	165027096	NONE	nd
Phas-34	1e-05	1	165163635	165163926	NONE	nd
Phas-35	1e-05	1	165165321	165165906	NONE	nd
Phas-36	1e-05	1	165170200	165170638	NONE	nd
Phas-37	1e-05	1	165226861	165227320	NONE	nd
Phas-38	1e-05	1	165230417	165231023	NONE	nd
Phas-39	1e-05	1	165367875	165368229	NONE	nd
Phas-40	1e-05	1	165379076	165379283	NONE	nd
Phas-41	1e-05	1	165436259	165437033	NONE	nd
Phas-42	1e-05	1	178465904	178466111	NONE	nd
Phas-43	1e-05	1	179381149	179381356	NONE	nd
Phas-44	1e-05	1	179698325	179698700	NONE	nd
Phas-45	1e-05	1	179701541	179702231	NONE	nd
Phas-46	1e-05	1	180011224	180011788	NONE	nd
Phas-47	1e-05	1	180013314	180013815	NONE	nd
Phas-48	1e-05	1	180273755	180274256	NONE	nd
Phas-49	1e-05	1	180275561	180276272	NONE	nd
Phas-50	1e-05	1	180290778	180291090	NONE	nd
Phas-51	1e-05	1	180380469	180381012	NONE	nd
Phas-52	1e-05	1	180381348	180381492	NONE	nd
Phas-53	1e-05	1	180389617	180390181	NONE	nd
Phas-54	1e-05	1	180596074	180596428	NONE	nd
Phas-55	1e-05	1	180663050	180663215	NONE	nd
Phas-56	1e-05	1	180922786	180923371	NONE	nd
Phas-57	1e-05	1	180928401	180929049	NONE	nd
Phas-58	1e-05	1	180931783	180931990	NONE	nd
Phas-59	1e-05	1	180934216	180934633	NONE	nd
Phas-60	1e-05	1	180939581	180940061	NONE	nd
Phas-61	1e-05	1	185480570	185480777	NONE	nd
Phas-62	1e-05	1	185626650	185626857	NONE	nd
Phas-63	1e-05	1	185838244	185838430	NONE	nd
Phas-64	1e-05	1	190650028	190650277	NONE	nd
Phas-65	1e-05	1	229240854	229241061	NONE	nd
Phas-66	1e-05	1	244341972	244342200	NONE	nd
Phas-67	1e-05	1	251722266	251722578	NONE	nd
Phas-68	1e-05	1	251755573	251755885	NONE	nd
Phas-69	1e-05	1	252797904	252797985	NONE	nd
Phas-70	1e-05	1	253180339	253180840	NONE	nd
Phas-71	1e-05	1	253182062	253182395	NONE	nd
Phas-72	1e-05	1	253208947	253209536	NONE	nd
Phas-73	1e-05	1	253210269	253210980	NONE	nd
Phas-74	1e-05	1	253226860	253227445	NONE	nd
Phas-75	1e-05	1	253228946	253229237	NONE	nd
Phas-76	1e-05	1	253231776	253232151	NONE	nd
Phas-77	1e-05	1	253232927	253233638	NONE	nd
Phas-78	1e-05	1	253250854	253251418	NONE	nd
Phas-79	1e-05	1	253252643	253252955	NONE	nd
Phas-80	1e-05	1	253253780	253254050	NONE	nd
Phas-81	1e-05	1	253257155	253257572	NONE	nd
Phas-82	1e-05	1	267210131	267210380	NONE	nd
Phas-83	1e-05	1	267235184	267235814	NONE	nd
Phas-84	1e-05	1	267236464	267236629	NONE	nd
Phas-85	1e-05	1	267238028	267238214	NONE	nd
Phas-86	1e-05	1	267262070	267262689	NONE	nd
Phas-87	1e-05	1	267263905	267263986	NONE	nd
Phas-88	1e-05	1	267264214	267264505	NONE	nd
Phas-89	1e-05	1	288497933	288498749	NONE	nd
Phas-90	1e-05	1	288524419	288524941	NONE	nd
Phas-91	1e-05	1	288550439	288550982	NONE	nd
Phas-92	1e-05	1	288573877	288574357	NONE	nd
Phas-93	1e-05	1	288590891	288591392	NONE	nd
Phas-94	1e-05	1	288593258	288593843	NONE	nd
Phas-95	1e-05	1	288618978	288619521	NONE	nd
Phas-96	1e-05	1	288623981	288624377	NONE	nd
Phas-97	1e-05	1	288634857	288635106	NONE	nd
Phas-98	1e-05	1	288635738	288636386	NONE	nd
Phas-99	1e-05	1	288647183	288648250	NONE	nd
Phas-100	1e-05	1	288664819	288665593	NONE	nd
Phas-101	1e-05	1	288673052	288673196	NONE	nd
Phas-102	1e-05	1	288677693	288678299	NONE	nd
Phas-103	1e-05	1	288679066	288679756	NONE	nd
Phas-104	1e-05	1	288682199	288682553	NONE	nd
Phas-105	1e-05	1	289630455	289631250	NONE	nd
Phas-106	1e-05	1	289632897	289633146	NONE	nd
Phas-107	1e-05	1	289638621	289638975	NONE	nd
Phas-108	1e-05	1	289688353	289688791	NONE	nd
Phas-109	1e-05	1	289700920	289701589	NONE	nd
Phas-110	1e-05	1	289748580	289749102	NONE	nd
Phas-111	1e-05	1	289764625	289765189	NONE	nd
Phas-112	1e-05	1	289766338	289766965	NONE	nd
Phas-113	1e-05	1	289768463	289768880	NONE	nd
Phas-114	1e-05	1	289769767	289770507	NONE	nd
Phas-115	1e-05	1	289819256	289819799	NONE	nd
Phas-116	1e-05	1	289820905	289821574	NONE	nd
Phas-117	1e-05	1	289827213	289827819	NONE	nd
Phas-118	1e-05	1	289929601	289930270	NONE	nd
Phas-119	1e-05	1	289960314	289960815	NONE	nd
Phas-120	1e-05	1	290051365	290052441	NONE	nd
Phas-121	1e-05	1	290153036	290153705	NONE	nd
Phas-122	1e-05	1	290184187	290184541	NONE	nd
Phas-123	1e-05	1	290188667	290189988	NONE	nd
Phas-124	1e-05	1	290194685	290194988	NONE	nd
Phas-125	1e-05	1	290195341	290195779	NONE	nd
Phas-126	1e-05	1	290201156	290201552	NONE	nd
Phas-127	1e-05	2	14677694	14677817	NONE	nd
Phas-128	1e-05	2	51361089	51361839	NONE	nd
Phas-129	1e-05	2	51409213	51409441	NONE	nd
Phas-130	1e-05	2	54351765	54352392	NONE	nd
Phas-131	1e-05	2	54441507	54441819	NONE	nd
Phas-132	1e-05	2	54442906	54443554	NONE	nd
Phas-133	1e-05	2	54451677	54452346	NONE	nd
Phas-134	1e-05	2	54454405	54454927	NONE	nd
Phas-135	1e-05	2	54487024	54487189	NONE	nd
Phas-136	1e-05	2	54495028	54495340	NONE	nd
Phas-137	1e-05	2	54495895	54496438	NONE	nd
Phas-138	1e-05	2	54570753	54571191	NONE	nd
Phas-139	1e-05	2	54589643	54590312	NONE	nd
Phas-140	1e-05	2	54607389	54607848	NONE	nd
Phas-141	1e-05	2	54608838	54609213	NONE	nd
Phas-142	1e-05	2	54621045	54621273	NONE	nd
Phas-143	1e-05	2	54622687	54623188	NONE	nd
Phas-144	1e-05	2	54625366	54625972	NONE	nd
Phas-145	1e-05	2	54646820	54647132	NONE	nd
Phas-146	1e-05	2	54680969	54681386	NONE	nd
Phas-147	1e-05	2	54704430	54704826	NONE	nd
Phas-148	1e-05	2	54711332	54711917	NONE	nd
Phas-149	1e-05	2	54742622	54742976	NONE	nd
Phas-150	1e-05	2	54746228	54746708	NONE	nd
Phas-151	1e-05	2	55324398	55325055	NONE	nd
Phas-152	1e-05	2	55358846	55359452	NONE	nd
Phas-153	1e-05	2	55397543	55398191	NONE	nd
Phas-154	1e-05	2	55399861	55400656	NONE	nd
Phas-155	1e-05	2	55434080	55434749	NONE	nd
Phas-156	1e-05	2	55435481	55435814	NONE	nd
Phas-157	1e-05	2	55559936	55560458	NONE	nd
Phas-158	1e-05	2	55618262	55618826	NONE	nd
Phas-159	1e-05	2	56799431	56799827	NONE	nd
Phas-160	1e-05	2	71573172	71573778	NONE	nd
Phas-161	1e-05	2	71574429	71574741	NONE	nd
Phas-162	1e-05	2	91818644	91818935	NONE	nd
Phas-163	1e-05	2	92018844	92019660	NONE	nd
Phas-164	1e-05	2	92085785	92086202	NONE	nd
Phas-165	1e-05	2	141335854	141335977	NONE	nd
Phas-166	1e-05	2	141449681	141450014	NONE	nd
Phas-167	1e-05	2	141451182	141451599	NONE	nd
Phas-168	1e-05	2	141501324	141501615	NONE	nd
Phas-169	1e-05	2	141504052	141504659	NONE	nd
Phas-170	1e-05	2	141555360	141555966	NONE	nd
Phas-171	1e-05	2	141650210	141650753	NONE	nd
Phas-172	1e-05	2	141654081	141654435	NONE	nd
Phas-173	1e-05	2	141669408	141669972	NONE	nd
Phas-174	1e-05	2	141670262	141670700	NONE	nd
Phas-175	1e-05	2	141725289	141725748	NONE	nd
Phas-176	1e-05	2	141769655	141770072	NONE	nd
Phas-177	1e-05	2	141773338	141774091	NONE	nd
Phas-178	1e-05	2	141864270	141864813	NONE	nd
Phas-179	1e-05	2	141947313	141948297	NONE	nd
Phas-180	1e-05	2	141950554	141951202	NONE	nd
Phas-181	1e-05	2	141953224	141953998	NONE	nd
Phas-182	1e-05	2	141955254	141956049	NONE	nd
Phas-183	1e-05	2	141965629	141966172	NONE	nd
Phas-184	1e-05	2	142024152	142024548	NONE	nd
Phas-185	1e-05	2	142074665	142075061	NONE	nd
Phas-186	1e-05	2	142142555	142143182	NONE	nd
Phas-187	1e-05	2	142143871	142144393	NONE	nd
Phas-188	1e-05	2	142147684	142148227	NONE	nd
Phas-189	1e-05	2	142234268	142234853	NONE	nd
Phas-190	1e-05	2	142273294	142273711	NONE	nd
Phas-191	1e-05	2	142399707	142400397	NONE	nd
Phas-192	1e-05	2	142413163	142413895	NONE	nd
Phas-193	1e-05	2	142530198	142530762	NONE	nd
Phas-194	1e-05	2	142628425	142629031	NONE	nd
Phas-195	1e-05	2	142630532	142630907	NONE	nd
Phas-196	1e-05	2	142660797	142661382	NONE	nd
Phas-197	1e-05	2	142662290	142662707	NONE	nd
Phas-198	1e-05	2	142663825	142664053	NONE	nd
Phas-199	1e-05	2	158759403	158759694	NONE	nd
Phas-200	1e-05	2	158761286	158761829	NONE	nd
Phas-201	1e-05	2	158854593	158855031	NONE	nd
Phas-202	1e-05	2	158886226	158886559	NONE	nd
Phas-203	1e-05	2	158904788	158905499	NONE	nd
Phas-204	1e-05	2	158985845	158986283	NONE	nd
Phas-205	1e-05	2	162425971	162426094	NONE	nd
Phas-206	1e-05	2	162426383	162426527	NONE	nd
Phas-207	1e-05	2	163743708	163744209	NONE	nd
Phas-208	1e-05	2	163745876	163746461	NONE	nd
Phas-209	1e-05	2	163987065	163987587	NONE	nd
Phas-210	1e-05	2	164012228	164012645	NONE	nd
Phas-211	1e-05	2	164019091	164019676	NONE	nd
Phas-212	1e-05	2	164028250	164028520	NONE	nd
Phas-213	1e-05	2	164263918	164264335	NONE	nd
Phas-214	1e-05	2	164265515	164266142	NONE	nd
Phas-215	1e-05	2	164399446	164399968	NONE	nd
Phas-216	1e-05	2	164408703	164409309	NONE	nd
Phas-217	1e-05	2	164410902	164411424	NONE	nd
Phas-218	1e-05	2	164415431	164415554	NONE	nd
Phas-219	1e-05	2	164441113	164441635	NONE	nd
Phas-220	1e-05	2	164450407	164450894	NONE	nd
Phas-221	1e-05	2	164494546	164495068	NONE	nd
Phas-222	1e-05	2	164595356	164595773	NONE	nd
Phas-223	1e-05	2	175881856	175882420	NONE	nd
Phas-224	1e-05	2	227114687	227115293	NONE	nd
Phas-225	1e-05	2	227158150	227158903	NONE	nd
Phas-226	1e-05	2	227166101	227166581	NONE	nd
Phas-227	1e-05	2	227191982	227192462	NONE	nd
Phas-228	1e-05	2	227208228	227208645	NONE	nd
Phas-229	1e-05	2	235189616	235190222	NONE	nd
Phas-230	1e-05	2	235190775	235191003	NONE	nd
Phas-231	1e-05	2	235191896	235192271	NONE	nd
Phas-232	1e-05	2	235194459	235194792	NONE	nd
Phas-233	1e-05	2	235252986	235253319	NONE	nd
Phas-234	1e-05	2	235339324	235339951	NONE	nd
Phas-235	1e-05	2	235341101	235341518	NONE	nd
Phas-236	1e-05	2	235352641	235353289	NONE	nd
Phas-237	1e-05	2	236530502	236531171	NONE	nd
Phas-238	1e-05	2	236534514	236535015	NONE	nd
Phas-239	1e-05	3	17629835	17630231	NONE	nd
Phas-240	1e-05	3	17631792	17632566	NONE	nd
Phas-241	1e-05	3	17785242	17785638	NONE	nd
Phas-242	1e-05	3	17808595	17809138	NONE	nd
Phas-243	1e-05	3	17810537	17811080	NONE	nd
Phas-244	1e-05	3	24233250	24233415	NONE	nd
Phas-245	1e-05	3	40492239	40492383	NONE	nd
Phas-246	1e-05	3	40492699	40492822	NONE	nd
Phas-247	1e-05	3	100565034	100565451	NONE	nd
Phas-248	1e-05	3	113406519	113407041	NONE	nd
Phas-249	1e-05	3	113409183	113409726	NONE	nd
Phas-250	1e-05	3	119394133	119394487	NONE	nd
Phas-251	1e-05	3	131594306	131594828	NONE	nd
Phas-252	1e-05	3	131628212	131628902	NONE	nd
Phas-253	1e-05	3	131638670	131638982	NONE	nd
Phas-254	1e-05	3	131642677	131643430	NONE	nd
Phas-255	1e-05	3	131694694	131695069	NONE	nd
Phas-256	1e-05	3	131753065	131753713	NONE	nd
Phas-257	1e-05	3	135792577	135792994	NONE	nd
Phas-258	1e-05	3	151030303	151030447	NONE	nd
Phas-259	1e-05	4	3495724	3496192	NONE	nd
Phas-260	1e-05	4	3498161	3498305	NONE	nd
Phas-261	1e-05	4	3500099	3500453	NONE	nd
Phas-262	1e-05	4	3517059	3517497	NONE	nd
Phas-263	1e-05	4	3518452	3518764	NONE	nd
Phas-264	1e-05	4	3551892	3552414	NONE	nd
Phas-265	1e-05	4	3555912	3556455	NONE	nd
Phas-266	1e-05	4	3562084	3563187	NONE	nd
Phas-267	1e-05	4	3564184	3564559	NONE	nd
